regime,model,ko,n_train,n_test_ntc,n_real_ko,pcc_DE20,pcc_DE100,pcc_all
far_train,only_fix1_CD,ACTL6A,1627,286,104,0.9560818076133728,0.9518998861312866,0.8875256776809692
far_train,only_fix1_CD_rna,ACTL6A,1627,286,104,0.7920968532562256,0.7029823660850525,0.5648672580718994
far_train,linear_mf,ACTL6A,1627,286,104,0.9317028522491455,0.8776953220367432,0.7145665884017944
far_train,mean_pert,ACTL6A,1627,286,104,0.5254321694374084,0.43454065918922424,0.29826241731643677
far_train,only_fix1_CD,DMAP1,1627,286,231,0.9699163436889648,0.9650209546089172,0.914395809173584
far_train,only_fix1_CD_rna,DMAP1,1627,286,231,0.8417617082595825,0.6569908261299133,0.4844925105571747
far_train,linear_mf,DMAP1,1627,286,231,0.8767858147621155,0.7703931331634521,0.5473035573959351
far_train,mean_pert,DMAP1,1627,286,231,0.5742441415786743,0.34908419847488403,0.16891136765480042
far_train,only_fix1_CD,EP400,1627,286,166,0.9701200127601624,0.9265876412391663,0.8300011157989502
far_train,only_fix1_CD_rna,EP400,1627,286,166,0.8361592888832092,0.7078976631164551,0.5503709316253662
far_train,linear_mf,EP400,1627,286,166,0.8882021903991699,0.834434986114502,0.6158769726753235
far_train,mean_pert,EP400,1627,286,166,0.3727027475833893,0.37682417035102844,0.1959940493106842
far_train,only_fix1_CD,EZH2,1627,286,196,0.7508752346038818,0.7672528624534607,0.6194771528244019
far_train,only_fix1_CD_rna,EZH2,1627,286,196,0.7899956107139587,0.693223237991333,0.536013126373291
far_train,linear_mf,EZH2,1627,286,196,0.7215138077735901,0.30003029108047485,0.23769710958003998
far_train,mean_pert,EZH2,1627,286,196,-0.13041362166404724,-0.5654307007789612,-0.43441081047058105
far_train,only_fix1_CD,SMARCA4,1627,286,65,0.8701403141021729,0.8004665374755859,0.6751049160957336
far_train,only_fix1_CD_rna,SMARCA4,1627,286,65,0.7143683433532715,0.6409862637519836,0.4914727509021759
far_train,linear_mf,SMARCA4,1627,286,65,0.8263766169548035,0.44167160987854004,0.2737971544265747
far_train,mean_pert,SMARCA4,1627,286,65,0.6161254644393921,0.055160365998744965,-0.03851290047168732
far_train,only_fix1_CD,SMARCB1,1627,286,105,0.9499481916427612,0.9110424518585205,0.8391303420066833
far_train,only_fix1_CD_rna,SMARCB1,1627,286,105,0.7703913450241089,0.6057543754577637,0.485637366771698
far_train,linear_mf,SMARCB1,1627,286,105,0.7033854722976685,0.5625126957893372,0.17050990462303162
far_train,mean_pert,SMARCB1,1627,286,105,0.21816709637641907,0.1701558232307434,-0.048370394855737686
far_train,only_fix1_CD,SMARCE1,1627,286,282,0.9618926048278809,0.9363538026809692,0.881881058216095
far_train,only_fix1_CD_rna,SMARCE1,1627,286,282,0.7830936908721924,0.6466372013092041,0.5129338502883911
far_train,linear_mf,SMARCE1,1627,286,282,0.9269323348999023,0.7378310561180115,0.5106433629989624
far_train,mean_pert,SMARCE1,1627,286,282,0.24297121167182922,0.08509400486946106,-0.011366323567926884
far_train,only_fix1_CD,SUZ12,1627,286,140,0.62461256980896,0.6725320219993591,0.5851843357086182
far_train,only_fix1_CD_rna,SUZ12,1627,286,140,0.6323369741439819,0.6364687085151672,0.5318810939788818
far_train,linear_mf,SUZ12,1627,286,140,0.695719838142395,0.17489197850227356,0.11456599086523056
far_train,mean_pert,SUZ12,1627,286,140,-0.562131404876709,-0.5892823338508606,-0.4669104218482971
far_train,only_fix1_CD,YY1,1627,286,232,0.5980230569839478,0.6630807518959045,0.46972596645355225
far_train,only_fix1_CD_rna,YY1,1627,286,232,0.6981825828552246,0.6145582795143127,0.45854252576828003
far_train,linear_mf,YY1,1627,286,232,0.13977670669555664,-0.6858494877815247,-0.5315670967102051
far_train,mean_pert,YY1,1627,286,232,-0.07072730362415314,-0.8171519637107849,-0.6880519390106201
close_train,only_fix1_CD,ACTL6A,1627,286,104,0.8498134016990662,0.8956095576286316,0.8187766671180725
close_train,only_fix1_CD_rna,ACTL6A,1627,286,104,0.7732576727867126,0.8001278638839722,0.6721354722976685
close_train,linear_mf,ACTL6A,1627,286,104,0.3777243196964264,0.6400707364082336,0.5666331052780151
close_train,mean_pert,ACTL6A,1627,286,104,-0.07250367850065231,0.025138642638921738,0.1021028533577919
close_train,only_fix1_CD,DMAP1,1627,286,231,0.9146750569343567,0.9150446057319641,0.8897577524185181
close_train,only_fix1_CD_rna,DMAP1,1627,286,231,0.8053575158119202,0.7924240231513977,0.6919399499893188
close_train,linear_mf,DMAP1,1627,286,231,0.614231526851654,0.7106718420982361,0.6934731006622314
close_train,mean_pert,DMAP1,1627,286,231,-0.3186870813369751,-0.19112032651901245,-0.11265824735164642
close_train,only_fix1_CD,EP400,1627,286,166,0.9199368953704834,0.9003937244415283,0.8116154670715332
close_train,only_fix1_CD_rna,EP400,1627,286,166,0.8435444235801697,0.8186715841293335,0.668346643447876
close_train,linear_mf,EP400,1627,286,166,0.4496583044528961,0.6626794934272766,0.6258911490440369
close_train,mean_pert,EP400,1627,286,166,-0.28469517827033997,-0.19923637807369232,-0.10085023194551468
close_train,only_fix1_CD,EZH2,1627,286,196,0.8637272119522095,0.8604121208190918,0.8080094456672668
close_train,only_fix1_CD_rna,EZH2,1627,286,196,0.8218342065811157,0.7866150140762329,0.7004973292350769
close_train,linear_mf,EZH2,1627,286,196,0.46259933710098267,0.2880285382270813,0.221451535820961
close_train,mean_pert,EZH2,1627,286,196,-0.09473985433578491,-0.3502403497695923,-0.28249943256378174
close_train,only_fix1_CD,SMARCA4,1627,286,65,0.8687123656272888,0.8909981846809387,0.825738787651062
close_train,only_fix1_CD_rna,SMARCA4,1627,286,65,0.8661248683929443,0.8264393210411072,0.7294392585754395
close_train,linear_mf,SMARCA4,1627,286,65,0.6663030982017517,0.5095107555389404,0.4015212953090668
close_train,mean_pert,SMARCA4,1627,286,65,0.06786040216684341,-0.2635747492313385,-0.17594915628433228
close_train,only_fix1_CD,SMARCB1,1627,286,105,0.8799485564231873,0.8688576221466064,0.7756797075271606
close_train,only_fix1_CD_rna,SMARCB1,1627,286,105,0.858264148235321,0.8161198496818542,0.6478629112243652
close_train,linear_mf,SMARCB1,1627,286,105,0.6080784797668457,0.3090270459651947,0.27016764879226685
close_train,mean_pert,SMARCB1,1627,286,105,0.40620189905166626,0.04866592586040497,0.053179942071437836
close_train,only_fix1_CD,SMARCE1,1627,286,282,0.8882327079772949,0.9289101362228394,0.8775936365127563
close_train,only_fix1_CD_rna,SMARCE1,1627,286,282,0.8455908298492432,0.8513925671577454,0.711326003074646
close_train,linear_mf,SMARCE1,1627,286,282,0.7146520018577576,0.5952516794204712,0.5193610787391663
close_train,mean_pert,SMARCE1,1627,286,282,0.3958657383918762,-0.030843937769532204,0.0032419241033494473
close_train,only_fix1_CD,SUZ12,1627,286,140,0.7216097116470337,0.7971800565719604,0.6756066083908081
close_train,only_fix1_CD_rna,SUZ12,1627,286,140,0.7546835541725159,0.8109951019287109,0.6472898721694946
close_train,linear_mf,SUZ12,1627,286,140,0.32228896021842957,0.19803693890571594,0.13653935492038727
close_train,mean_pert,SUZ12,1627,286,140,-0.49462181329727173,-0.4483535587787628,-0.3219832479953766
close_train,only_fix1_CD,YY1,1627,286,232,0.9472050070762634,0.8916139602661133,0.7938061952590942
close_train,only_fix1_CD_rna,YY1,1627,286,232,0.8769624829292297,0.81022709608078,0.7174135446548462
close_train,linear_mf,YY1,1627,286,232,-0.48411181569099426,-0.35094425082206726,-0.22006946802139282
close_train,mean_pert,YY1,1627,286,232,-0.653256893157959,-0.6220157742500305,-0.4881945848464966
